Student_ID,Score,Major,Graduation_Year,Pass/Fail,Letter_Grade
94802,66.02,Engineering,2024,True,D
66448,89.99,Engineering,2026,True,B
84198,62.84,Humanities,2025,False,D
76308,64.2,Computer Science,2024,False,D
64295,52.84,Engineering,2023,True,F
19070,87.84,Business,2024,True,B
71014,81.06,Business,2025,True,B
77975,65.41,Algriculture,2023,True,D
25867,94.21,Business,2025,False,A
75265,96.09,Computer Science,2023,True,A
95558,62.31,Business,2023,True,D
88015,50.58,Humanities,2022,False,F
48784,85.1,Computer Science,2026,True,B
45738,75.79,Humanities,2023,True,C
95890,51.96,Computer Science,2022,True,F
12451,53.79,Engineering,2026,True,F
97032,61.68,Humanities,2022,True,D
87393,74.52,Engineering,2022,False,C
60911,70.77,Engineering,2023,False,C
66715,73.79,Computer Science,2024,False,C
19618,51.78,Algriculture,2026,False,F
85617,99.58,Algriculture,2024,True,A
12663,57.11,Computer Science,2026,True,F
30994,86.36,Computer Science,2024,True,B
40692,78.1,Humanities,2023,False,C
40846,57.8,Algriculture,2022,True,F
39347,86.44,Computer Science,2026,False,B
25254,73.41,Engineering,2026,True,C
29213,60.01,Engineering,2024,True,D
94262,96.77,Humanities,2023,False,A
18192,90.4,Computer Science,2026,True,A
61879,71.92,Computer Science,2023,True,C
96400,80.89,Business,2023,True,B
87284,68.2,Humanities,2026,True,D
62055,87.3,Computer Science,2022,False,B
97446,69.65,Computer Science,2023,True,D
70822,92.87,Algriculture,2023,True,A
79588,88.5,Humanities,2024,False,B
90266,61.25,Algriculture,2025,False,D
33692,78.69,Engineering,2023,False,C
72665,67.42,Engineering,2024,False,D
94286,59.38,Algriculture,2025,True,F
41283,57.34,Business,2024,True,F
82666,98.29,Humanities,2026,False,A
74176,56.09,Business,2025,True,F
67033,84.88,Engineering,2022,False,B
55110,98.38,Computer Science,2023,True,A
24691,99.04,Humanities,2026,False,A
56673,96.63,Engineering,2024,False,A
10606,71.81,Business,2022,True,C
